0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0.5,SET,Loop,8,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Ang,360,,,,,,
0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,200,,,,,
0,MUL,EndY,$Y,200,,,,,
0,MUL,X,$X,400,,,,,
0,MUL,Y,$Y,300,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,ADD,EndY,$EndY,$HeartY,,,,,
0,ADD,X,$X,$HeartX,,,,,
0,ADD,Y,$Y,$HeartY,,,,,
0,JMPNL,21,$EndX,50,,,,,
0,SET,EndX,50,,,,,,
0,JMPNG,23,$EndX,590,,,,,
0,SET,EndX,590,,,,,,
0,JMPNL,25,$EndY,40,,,,,
0,SET,EndY,40,,,,,,
0,JMPNG,27,$EndY,440,,,,,
0,SET,EndY,440,,,,,,
0,ANGLE,Ang,$EndX,$EndY,$HeartX,$HeartY,,,
0,RND,Color,3,,,
0,ADD,Jump,$Color,1,,
0.35,BoneV,128,346,40,0,120,$Color,
0,BoneV,513,257,57,2,120,$Color,
0,Platform,125,346,20,0,120,,
0,GasterBlaster,0,$X,$Y,$EndX,$EndY,$Ang,0.46666,0.03333
0.53333,JMPNZ,6,$Loop,,,,,,
2.2,EndAttack,,,,,,,
